"","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11"
"M.age",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"mat.age",0.012,0.038,0.106,0.258,0.51,0.754,0.904,0.966,0.988,0.998,1
"SSB.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"catch.waa",0.01704,0.05938,0.1236,0.18892,0.27124,0.35318,0.45198,0.55144,0.65562,0.73228,0.97262
"jan1.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"sel.age",0.000556712324872377,0.00700117983978873,0.0134431221056033,0.0307265808650901,0.0570453317382142,0.105083586205108,0.186628688523418,0.186628688523418,1,1,1
"spawn.time",0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F30%",0.555056974228986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F35%",0.407852431700855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F40%",0.310903983017683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F45%",0.242602460868386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50%",0.191977665151088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
