"","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11"
"M.age",0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525
"mat.age",0.012,0.038,0.106,0.258,0.51,0.754,0.904,0.966,0.988,0.998,1
"SSB.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"catch.waa",0.01704,0.05938,0.1236,0.18892,0.27124,0.35318,0.45198,0.55144,0.65562,0.73228,0.97262
"jan1.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"sel.age",0.00066920611976758,0.0096952562264074,0.0226234135650696,0.0600418435083728,0.128020248846251,0.273846920691822,0.642643796560873,1,1,1,1
"spawn.time",0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F30%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F35%",2.44793220552154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F40%",1.8310217418573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F45%",1.37964681045611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50%",1.0454913983409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
