Source,Year,cmult,SSBrho
2005 Cmult,2005,1,0.63842148
2005 Cmult,2005,1.5,0.318306529
2005 Cmult,2005,2,0.157467577
2005 Cmult,2005,2.5,0.057951337
2005 Cmult,2005,3,-0.01107861
2005 Cmult,2005,3.5,-0.062540184
2005 Cmult,2005,4,-0.10284353
2005 Cmult,2005,4.5,-0.1355545
2005 Cmult,2005,5,-0.16282752
2005 Young,2005,1,0.63842148
2005 Young,2005,1.5,0.512474922
2005 Young,2005,2,0.451527331
2005 Young,2005,2.5,0.479356477
2005 Young,2005,3,0.55877495
2005 Young,2005,3.5,0.664714737
2005 Young,2005,4,0.80438334
2005 Young,2005,4.5,0.948727861
2005 Young,2005,5,1.100778296
2005 Old,2005,1,0.63842148
2005 Old,2005,1.5,0.249254303
2005 Old,2005,2,0.105942035
2005 Old,2005,2.5,0.032384343
2005 Old,2005,3,-0.013624496
2005 Old,2005,3.5,-0.045830554
2005 Old,2005,4,-0.070134121
2005 Old,2005,4.5,-0.089549035
2005 Old,2005,5,-0.105464904
